USE_YMD,RTE_ID,RTE_NO,RTE_NM,STOPS_ID,STOPS_ARS_NO,SBWY_STNS_NM,GTON_TNOPE,GTOFF_TNOPE,REG_YMD
20250131,11110363,N13,N13번(상계동차고지~송파공영차고지),110000347,11448,하계장미아파트(00011),1.0,2.0,20250203
20250124,11110621,마포01,마포01(산천동리버힐삼성아파트~용문시장),113900019,14514,우성아파트3동(00004),70.0,11.0,20250127
20250106,11110656,서초14,서초14(이수역~고속터미널),121900142,22913,서래초등학교(00028),87.0,71.0,20250109
20250123,11110670,서초09,서초09(헌인가구단지~강남역),121900104,22556,언남중고교(00015),176.0,127.0,20250126
20250131,41110091,541,541번(군포공영차고지~강남역),208000155,57030,서안양우체국(00100),38.0,239.0,20250203
20250106,11110241,5516,5516번(신림2동차고지~노량진),119000100,20193,청화병원(00033),122.0,143.0,20250109
20250125,11110006,105,105번(상계동~서울역),101000335,02234,퇴계로2가.명동역7번출구(00042),74.0,289.0,20250128
20250119,11110719,종로11,종로11(삼청공원~서울역),100900178,01501,삼청공원(00021),101.0,77.0,20250122
20250107,11110757,관악11,관악11(봉천역~재넘이고개),120000450,21365,성원홈아파트(00006),4.0,159.0,20250110
20250123,11110873,7024,7024번(봉원사~서울역),112000037,13120,이대부고(00029),24.0,55.0,20250126
20250121,11110915,1114,1114번(정릉~길음역),107000228,08324,솔샘사거리(00005),39.0,99.0,20250124
20250112,11110053,501,501번(한남운수대학동차고지~종로2가),120000038,21139,관악구청(00052),336.0,279.0,20250115
20250114,11110360,350,350번(송파공영차고지~노들역),123000016,24016,장지역.가든파이브(00096),5.0,135.0,20250117
20250126,11110073,109,109번(우이동~서울역),109000134,10219,서라벌중학교.우이동대우아파트(00060),7.0,28.0,20250129
20250103,11110021,152,152번(화계사~삼막사사거리),107000007,08007,돈암사거리.성신여대입구(00014),208.0,467.0,20250106
20250113,11110726,종로08,종로08(명륜3가~종로5가),100900027,01876,혜화역4번출구(00010),226.0,1265.0,20250116
20250119,41110064,6637,6637번(광명 노온사동~목동),116000009,17009,개봉역.영화아파트(00059),307.0,213.0,20250122
20250123,41110097,2212,2212번(불암동~면목동(서일대)),110000043,11143,경춘선숲길화랑대역공원(00014),59.0,10.0,20250126
20250107,11110027,171,171번(용마문화복지센터~월드컵파크7단지),107000007,08007,돈암사거리.성신여대입구(00008),241.0,485.0,20250110
20250107,11110980,652,652번(신월동~금천우체국),115000041,16137,경복비즈니스고등학교(00090),46.0,388.0,20250110
20250103,11110020,151,151번(우이동~중앙대),102000004,03004,신용산역(00046),407.0,198.0,20250106
20250113,11110012,141,141번(도봉산~염곡동),121000289,22367,염곡동구룡사(00054),82.0,28.0,20250116
20250113,11110295,6714,6714번(양천공영차고지~이대부고),112000014,13014,세브란스병원앞(00034),16.0,172.0,20250116
20250114,41110153,N37,N37번(진관공영차고지~송파공영차고지),122000337,23449,일원동한솔아파트(00045),0.0,1.0,20250117
20250106,11110171,1711,1711번(국민대~공덕동),100000016,01111,통인시장종로구보건소(00051),90.0,241.0,20250109
20250128,11110211,3411,3411번(강동공영차고지~한티역),124000064,25164,강동구청역1번출구.영파여고(00064),44.0,49.0,20250131
20250124,11110038,340,340번(강동차고지~무지개아파트),124000004,25104,고덕리엔파크1단지(00101),4.0,160.0,20250127
20250102,11110099,성북22,성북22(세계문화유산정릉~삼선동주민센터),107900320,08840,정릉꿈에그린아파트(00020),0.0,85.0,20250105
20250106,41110130,9401,9401번(구미동~서울역),101000043,02142,롯데영프라자(00036),425.0,14.0,20250109
20250130,11110596,동작15,동작15(자이아파트~이수역),119900209,20959,사당1동주민센터입구(00012),4.0,56.0,20250202
20250114,11110457,N51,N51번(시흥동차고지~하계동차고지),100000127,01223,이화동(이화장)(00112),0.0,5.0,20250117
20250103,41110128,9711,9711번(일산동부경찰서~양재역),218000134,35627,서정마을(중)(00071),5.0,46.0,20250106
20250102,11110020,151,151번(우이동~중앙대),998501937,~,우이동도선사입구(기점가상)(00001),4.0,1.0,20250105
20250130,11110541,관악06,관악06(신림3동보명사~신대방역),120900040,21550,남강중고등학교입구(00006),92.0,1.0,20250202
