USE_YMD,RTE_ID,RTE_NO,RTE_NM,STOPS_ID,STOPS_ARS_NO,SBWY_STNS_NM,GTON_TNOPE,GTOFF_TNOPE,REG_YMD
20250731,41110152,N37,N37번(송파공영차고지~진관공영차고지),111000928,12017,연신내역.연서시장(00049),4.0,20.0,20250803
20250721,11110295,6714,6714번(양천공영차고지~이대부고),114000219,15323,푸른마을2단지아파트(00005),99.0,11.0,20250724
20250720,11110065,650,650번(외발산동~서울대입구),118000015,19015,대방역(00033),36.0,74.0,20250723
20250714,11110144,1137,1137번(상계동~미아사거리),107000182,08278,장위1동주민센터(00035),171.0,99.0,20250717
20250726,41110156,760,760번(대화동~영등포소방서.타임스퀘어),218000086,35374,무원고교(00074),19.0,45.0,20250729
20250719,11110250,5525,5525번(시흥동~보라매공원),117000104,18190,독산동성당앞(00011),45.0,7.0,20250722
20250720,11110032,262,262번(중랑공영차고지~여의도),106000079,07173,면목본동주민센터.면목정보도서관(00017),80.0,78.0,20250723
20250705,11110657,서초15,서초15(롯데캐슬헤론아파트~사당역),121900014,22389,내방역3번출구(00009),216.0,91.0,20250708
20250731,11110049,420,420번(개포동~답십리역),101000072,02171,동대문역사문화공원역9번출구(00026),194.0,818.0,20250803
20250708,41110027,2227,2227번(중랑공영차고지~광장동),106000235,07331,양원역입구(00013),226.0,145.0,20250711
20250720,11110813,1116,1116번(국민대학교~미아삼거리역),108000132,09220,동북시장(00021),90.0,65.0,20250723
20250724,11110354,7212,7212번(은평차고지~극동그린아파트앞),111000167,12257,역촌오거리(00122),55.0,91.0,20250727
20250715,11110935,8146,8146번(상계주공7단지~강남역),110000094,11194,두산아파트.도심공항수락터미널(00124),0.0,1.0,20250718
20250718,11110324,7723,7723번(진관공영차고지~구파발역),111000546,12463,신도초교.은평메디텍고등학교(00012),273.0,17.0,20250721
20250707,11110058,603,603번(신월동~시청),114000139,15242,신정1동우체국(00013),125.0,49.0,20250710
20250706,41110057,5630,5630번(광명공영차고지~목동역),116000047,17133,남구로역3번출구(00050),90.0,72.0,20250709
20250720,11110115,1017,1017번(월계동~상왕십리),105000559,06310,e편한세상청계센트럴포레아파트(00031),46.0,45.0,20250723
20250706,11110804,영등포08,영등포08(영등포푸르지오~신도림역),118900195,19990,영등포푸르지오후문(00016),104.0,209.0,20250709
20250707,11110698,양천03,양천03(신정이펜하우스1단지~목동역),114000257,15362,신정현대아파트.서부트럭터미널(00050),188.0,52.0,20250710
20250726,41110106,9408,9408번(구미동차고지~고속터미널),121000018,22018,반포역(00064),25.0,0.0,20250729
20250715,11110655,서초13,서초13(이수역~동덕여중고),121900200,22856,서울고사거리(00020),75.0,134.0,20250718
20250722,11110821,6633,6633번(강서공영차고지~여의도역),114000162,15265,목동7단지(00020),23.0,27.0,20250725
20250701,41110154,111,111번(민락동차고지~동대문),110000099,11199,노원초등학교(00093),54.0,89.0,20250704
20250704,41110079,7728,7728번(대화동~신촌),111000072,12160,신사동고개사거리(00041),104.0,153.0,20250707
20250724,11110324,7723,7723번(진관공영차고지~구파발역),111000548,12461,두산위브253동앞(00014),38.0,51.0,20250727
20250729,11110808,영등포03,영등포03(당산현대아파트~영등포역),118900080,19697,당산효성.현대5차아파트(00023),22.0,29.0,20250801
20250709,11110057,602,602번(양천공용차고지~시청앞),114000026,15126,목동성원아파트(00022),418.0,124.0,20250712
20250726,11110259,5618,5618번(구로동~구로동),118000161,19246,영등포농협도림로지점(00064),37.0,150.0,20250729
20250703,11110011,140,140번(도봉산역~AT센터),108000011,09011,미아사거리역(00018),418.0,319.0,20250706
20250724,11110241,5516,5516번(신림2동차고지~노량진),120000178,21280,국제대학원(00070),7.0,18.0,20250727
20250710,11110365,N16,N16번(도봉산공영차고지~온수동차고지),116000011,17011,경인중학교.개봉사거리(00061),1.0,14.0,20250713
20250724,11110808,영등포03,영등포03(당산현대아파트~영등포역),118900037,19552,한강성심병원(00010),171.0,170.0,20250727
20250702,11110374,6640B,6640B번(양천차고지~양천차고지),114000160,15263,목동중학교.서울출입국.외국인청(00037),87.0,171.0,20250705
20250715,41110154,111,111번(민락동차고지~동대문),108000373,09312,꿈의숲주차장입구(00043),34.0,42.0,20250718
20250717,11110050,461,461번(장지공영차고지~여의도),122000277,23381,일원본동주민센터(00018),167.0,128.0,20250720
20250703,11110522,강서01,강서01(약수터~등촌역),115900280,16911,화곡보람2차아파트(00019),29.0,255.0,20250706
20250712,11110891,2114,2114(중랑공영차고지~석계역),106000293,07391,제일시장(00034),83.0,59.0,20250715
20250705,11110266,6211,6211번(신월동~상왕십리),102000246,03339,한강대교전망카페(00032),28.0,19.0,20250708
20250722,11110125,1119,1119번(강북청소년수련관난나~녹천역),990071823,~,선일교통(가상)(00001),5.0,0.0,20250725
20250721,11110226,4312,4312번(개포동~가락1동주민센터),121000194,22270,양재역.양재1동민원분소(00080),212.0,172.0,20250724
20250704,11110568,노원02,노원02(수락리버시티아파트단지~노원구청),110900059,11784,보람아파트상가(00030),168.0,236.0,20250707
20250711,41110091,541,541번(군포공영차고지~강남역),220000019,37026,한내마을.환경사업소(00045),32.0,76.0,20250714
20250716,11110257,5616,5616번(가산동~영도중학교),118000153,19238,우신초등학교(00042),66.0,49.0,20250719
20250709,11110046,402,402번(장지공영차고지~시청),102000074,03168,남산도서관.용산도서관(00063),430.0,631.0,20250712
20250713,41110048,5535,5535번(하안동~노량진),213000074,38142,하안버스공영차고지(00081),0.0,18.0,20250716
20250726,11110136,1129,1129번(상계현대2차아파트~창동역동측),110000089,11189,상계10동우체국(00018),4.0,15.0,20250729
20250703,11110547,구로10,구로10(대림역~중앙하이츠),116900121,17962,구일고교.구일초등학교(00018),126.0,6.0,20250706
20250723,11110360,350,350번(송파공영차고지~노들역),121000181,22257,대항병원(00061),16.0,30.0,20250726
20250711,11110242,5517,5517번(시흥2동벽산아파트~중앙대),120000070,21172,산복터널.관악산휴먼시아2단지(00015),12.0,56.0,20250714
20250728,11110353,3319,3319(장지공영차고지~잠실역),123000373,24465,송파글마루도서관.버들어린이집(00054),1.0,36.0,20250731
