사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20250107,5호선,강동,19892,19478,20250110
20250109,수인선,호구포,3592,3783,20250112
20250112,일산선,정발산,5029,4910,20250115
20250123,신림선,보라매병원,9115,9680,20250126
20250111,중앙선,도심,1690,1368,20250114
20250128,6호선,신내,1,0,20250131
20250105,경부선,남영,5049,5425,20250108
20250116,4호선,서울역,13541,23728,20250119
20250120,경춘선,상천,225,203,20250123
20250105,2호선,교대(법원.검찰청),9970,11989,20250108
20250114,6호선,이태원,10159,10264,20250117
20250115,분당선,태평,13528,13129,20250118
20250120,분당선,매탄권선,5468,5323,20250123
20250109,2호선,서울대입구(관악구청),45472,44292,20250112
20250123,신림선,보라매공원,2421,2586,20250126
20250126,4호선,당고개,6170,5784,20250129
20250131,2호선,강남,78486,76899,20250203
20250114,경의선,일산,10943,10819,20250117
20250103,수인선,인천논현,5753,6111,20250106
20250110,9호선,선유도,9792,9018,20250113
20250127,2호선,홍대입구,53095,55285,20250130
20250128,6호선,동묘앞,4881,4269,20250131
20250104,과천선,인덕원,16591,16557,20250107
20250124,9호선,신논현,37751,39309,20250127
20250131,분당선,미금,14853,15206,20250203
20250130,수인선,야목,209,148,20250202
20250127,중앙선,원덕,208,266,20250130
20250114,6호선,창신,3970,3326,20250117
20250109,7호선,도봉산,8261,9321,20250112
20250125,경춘선,남춘천,2766,2949,20250128
20250126,분당선,수서,8178,10341,20250129
20250123,6호선,망원,17214,18221,20250126
20250117,4호선,쌍문,31894,29668,20250120
20250104,안산선,안산,9814,10495,20250107
20250112,1호선,종각,14593,13128,20250115
20250112,공항철도 1호선,인천공항2터미널,9282,6626,20250115
20250108,4호선,성신여대입구(돈암),21789,21248,20250111
20250128,7호선,대림(구로구청),7967,7627,20250131
20250122,3호선,금호,8743,8179,20250125
20250130,3호선,독립문,3325,3528,20250202
20250112,9호선,흑석(중앙대입구),8643,6895,20250115
20250120,경원선,도봉산,7079,4340,20250123
20250109,경부선,서동탄,1472,1165,20250112
20250101,9호선,선유도,2551,2647,20250104
20250128,5호선,김포공항,8420,5985,20250131
20250118,5호선,충정로(경기대입구),3943,2806,20250121
20250108,수인선,송도,2503,2305,20250111
20250114,경원선,회룡,13568,13206,20250117
20250118,2호선,을지로입구,36977,35537,20250121
20250131,경부선,진위,1175,1072,20250203
