TM,STN_ID,PM10,FLAG
"202504190045,","169,","0,000000,,=",
"202504122135,","102,","23,000000,,=",
"202504130155,","152,","30,000000,,=",
"202504080935,","102,","54,000000,,=",
"202504281925,","121,","40,000000,,=",
"202504241930,","119,","58,000000,,=",
"202504171635,","108,","66,000000,,=",
"202504191130,","140,","55,000000,,=",
"202504051035,","169,","17,000000,,=",
"202504142355,","119,","2,000000,,=",
"202504252030,","135,","0,000000,,=",
"202504230620,","132,","20,000000,,=",
"202504282145,","108,","38,000000,,=",
"202504080215,","160,","46,000000,,=",
"202504111605,","156,","54,000000,,=",
"202504040630,","130,","26,000000,,=",
"202504291400,","273,","72,000000,,=",
"202504292255,","268,","56,000000,,=",
"202504100025,","501,","31,200000,,=",
"202504051140,","93,","26,200000,,=",
"202504011330,","115,","6,000000,,=",
"202504150625,","399,","20,",",,="
"202504050205,","399,","27,",",,="
"202504191415,","115,","27,000000,,=",
"202504050625,","399,","31,",",,="
"202504051505,","169,","21,000000,,=",
"202504280550,","232,","0,000000,,=",
"202504221620,","169,","5,000000,,=",
"202504210640,","232,","7,000000,,=",
"202504011100,","102,","20,000000,,=",
"202504191905,","185,","21,000000,,=",
"202504031730,","90,","25,000000,,=",
"202504230635,","116,","0,000000,,=",
"202504011535,","185,","38,000000,,=",
"202504031850,","121,","37,000000,,=",
"202504142310,","140,","6,000000,,=",
"202504072210,","94,","38,000000,,=",
"202504020340,","156,","24,000000,,=",
"202504190405,","229,","5,000000,,=",
"202504111450,","160,","32,000000,,=",
"202504202305,","156,","1,000000,,=",
"202504110750,","108,","34,000000,,=",
"202504291455,","152,","60,000000,,=",
"202504171210,","160,","13,000000,,=",
"202504200620,","201,","26,000000,,=",
"202504221045,","130,","19,000000,,=",
"202504211840,","108,","33,000000,,=",
"202504141905,","135,","0,000000,,=",
"202504131110,","156,","98,000000,,=",
"202504040525,","93,","38,200000,,=",
