TM,STN_ID,PM10,FLAG
"202507212210,","116,","0,000000,,=",
"202507300630,","201,","13,000000,,=",
"202507012230,","94,","4,000000,,=",
"202507110545,","115,","22,000000,,=",
"202507161043,","169,","0,000800,1",",="
"202507110155,","156,","5,000000,,=",
"202507172121,","169,","5,000000,,=",
"202507310120,","143,","14,000000,,=",
"202507280810,","201,","38,000000,,=",
"202507011105,","136,","25,004000,,=",
"202507150410,","136,","0,004000,,=",
"202507102010,","140,","15,000000,,=",
"202507051256,","169,","17,000000,,=",
"202507130100,","136,","0,004000,,=",
"202507060055,","232,","20,000000,,=",
"202507070830,","268,","0,000000,1",",="
"202507151245,","116,","9,000000,,=",
"202507101945,","268,","48,000000,,=",
"202507152239,","169,","280,000800,1",",="
"202507280500,","146,","0,000000,,=",
"202507061155,","201,","18,000000,,=",
"202507100810,","192,","8,004000,,=",
"202507150005,","156,","10,000004,,=",
"202507201220,","201,","9,000000,,=",
"202507171325,","140,","9,000000,,=",
"202507312035,","152,","37,000000,,=",
"202507242205,","160,","0,000000,,=",
"202507192215,","135,","4,000000,,=",
"202507190645,","273,","7,000000,,=",
"202507101500,","136,","11,004000,,=",
"202507031225,","119,","45,000000,,=",
"202507010740,","135,","55,000000,,=",
"202507241600,","192,","70,004000,,=",
"202507102010,","273,","14,000000,,=",
"202507060750,","229,","5,000000,,=",
"202507191530,","201,","1,000000,,=",
"202507220345,","152,","35,000000,,=",
"202507110625,","119,","10,000000,,=",
"202507200440,","156,","15,000000,,=",
"202507200025,","136,","21,000000,,=",
"202507101015,","135,","38,000000,,=",
"202507032350,","201,","9,000000,,=",
"202507072020,","119,","60,000000,,=",
"202507011541,","169,","0,000000,,=",
"202507251055,","93,","37,000000,,=",
"202507150425,","185,","21,000000,,=",
"202507270307,","169,","18,004000,,=",
"202507270625,","152,","29,000000,,=",
"202507140645,","501,","6,000000,,=",
"202507231505,","201,","6,000000,,=",
