TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20250428,108,2.7,2324,25,6.3,1334,32,13.1,1410,15.1,20.2,1535,10.3,636,2.4,20.3,2.3,45.6,18.0,1558,7.6,7.9,5.5,-9.0,998.9,1009.0,1012.8,5,1005.8,1612,1.0,12.5,13.6,-9.0,27.28,3.59,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.1,13.7,12.8,12.3,14.0
20250416,108,2.5,2181,20,6.0,1511,18,10.7,1502,14.6,21.9,1435,6.4,330,5.5,13.7,0.9,58.0,36.0,1524,9.1,5.9,4.1,-9.0,996.5,1006.7,1009.4,55,1004.4,1627,5.5,9.7,13.2,-9.0,22.26,3.16,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,10.8,10.9,10.9,11.9,14.3
20250424,108,3.1,2644,23,6.2,1550,25,11.6,1619,14.7,19.6,1434,10.7,2352,3.9,19.2,3.9,52.4,25.0,1800,8.5,7.3,5.1,-9.0,998.2,1008.3,1012.7,2400,1005.7,1552,0.9,12.2,13.5,-9.0,27.27,3.44,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.6,13.2,12.1,12.1,14.0
20250418,108,2.4,2092,23,4.4,146,18,8.8,109,18.6,23.7,1621,15.4,902,12.0,18.2,10.8,67.9,36.0,1725,14.1,4.0,2.8,-9.0,998.3,1008.3,1010.7,1042,1004.7,125,6.0,5.0,13.3,-9.0,15.19,2.85,1300,0.0,1.0,0.83,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,12.8,11.1,11.0,11.9,14.2
20250409,108,2.0,1754,23,5.5,1435,23,8.9,1430,12.7,18.0,1313,8.4,628,2.4,12.1,2.1,51.6,30.0,1503,7.3,3.9,2.7,-9.0,1000.2,1010.4,1014.4,1,1006.6,1817,9.0,2.2,12.9,-9.0,12.49,2.62,1200,0.8,0.8,2.52,0.8,1839,0.5,1926,-9.0,-9,-9.0,-9,-9.0,-9,11.6,10.1,10.0,11.7,14.5
20250410,108,2.2,1908,27,5.5,1740,25,8.2,1726,13.2,19.1,1515,8.8,657,5.4,15.9,3.2,60.6,40.0,1438,9.0,5.5,3.8,-9.0,996.3,1006.5,1008.6,2357,1004.7,1511,2.0,9.7,13.0,-9.0,22.16,3.0,1400,0.0,0.0,3.42,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,11.6,10.4,10.1,11.7,14.5
20250429,108,2.3,1956,25,4.7,1525,27,8.5,1438,14.8,21.0,1353,8.2,538,-1.5,20.3,0.1,34.1,17.0,1658,5.5,8.9,6.3,-9.0,1001.8,1011.9,1013.6,2359,1010.5,1711,0.0,12.8,13.7,-9.0,28.09,3.55,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.2,13.8,12.9,12.3,13.9
20250425,108,3.0,2629,23,6.5,1524,29,12.7,1559,12.5,17.8,1357,7.7,555,-2.1,17.2,0.3,38.4,20.0,1116,5.3,8.5,5.9,-9.0,1004.7,1015.0,1017.1,2335,1012.6,1,0.0,12.5,13.6,-9.0,27.87,3.55,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.5,13.4,12.3,12.1,14.0
20250413,108,4.2,3665,25,9.0,1403,27,21.5,1400,5.5,8.2,1002,1.1,45,0.4,6.5,0.1,71.1,47.0,1008,6.3,2.6,1.8,-9.0,988.8,999.2,1003.5,1,997.5,854,7.0,3.7,13.1,-9.0,12.47,2.64,1100,4.2,2.4,6.47,2.7,-2334,0.6,16,-9.0,-9,0.4,100,0.6,100,12.2,11.1,10.6,11.8,14.4
20250401,108,1.8,1594,29,4.1,1635,27,7.7,1717,10.1,17.0,1444,3.9,638,-0.3,11.9,-3.2,53.0,23.0,1728,6.1,5.9,4.1,-9.0,1011.3,1021.7,1024.6,1,1019.1,1704,0.6,10.2,12.6,-9.0,22.77,3.19,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,8.8,9.1,9.4,11.5,14.7
